p_val	avg_log2FC	pct.1	pct.2	p_val_adj
LST1	0	-1.34041942614453	0.471	0.68	0
RGS18	0	2.04386495059958	0.275	0.068	0
CSF2RB	0	3.92011581125827	0.22	0.016	0
SLC25A5	0	0.807939327829269	0.93	0.728	0
KLF1	0	4.40984686911785	0.212	0.011	0
CD38	0	1.82998685170529	0.272	0.074	0
IDS	0	-1.18907203492305	0.522	0.716	0
ITGA2B	0	2.94496893023996	0.228	0.037	0
C2orf88	0	1.79320502383217	0.256	0.068	0
PLIN2	0	1.9431566529466	0.248	0.065	0
RBM3	0	0.689048218205994	0.93	0.748	0
ICAM3	0	-1.03149222694145	0.62	0.799	0
CYTL1	0	0.935428404026002	0.878	0.7	0
ABCC4	0	2.68889937868216	0.202	0.029	0
HYAL3	0	2.08177494082115	0.216	0.044	0
STXBP6	0	6.79654703200159	0.172	0.002	0
BMP2K	0	1.9565323639971	0.218	0.05	0
TPSAB1	0	4.46542027662915	0.176	0.011	0
TAGLN2	0	0.70682644331576	0.91	0.749	0
HLA-DPA1	0	-1.4135553430508	0.771	0.928	0
PRDX1	0	-1.48576527194519	0.795	0.952	0
PRKAR2B	0	2.75714448559892	0.162	0.024	0
CD7	0	2.33869793640588	0.161	0.029	0
HLA-DPB1	0	-1.12419996381989	0.801	0.92	0
COX6B1	0	0.58846560049449	0.967	0.864	0
CRYM	0	4.26031902185017	0.094	0.005	0
FOS	0	-1.2127334874912	0.858	0.94	0
CPB1	0	4.87156802283565	0.076	0.002	0
SERPINB1	0	1.01199406243939	0.992	0.918	0
AMHR2	0	5.66996274801582	0.066	0.001	0
HLA-E	0	-0.765710344016348	0.859	0.917	0
HLA-DRA	0	-1.12602334389652	0.929	0.984	0
CD74	0	-1.63074433277154	0.94	0.994	0
HMGB1	0	0.603446555254729	0.984	0.945	0
OAZ1	0	0.459070317627213	0.986	0.949	0
LDHB	0	0.454834845883762	0.997	0.972	0
NAP1L1	0	-0.544631985656903	0.97	0.988	0
TMSB10	0	0.496173848627053	0.992	0.978	0
HNRNPA1	0	0.525315207395335	1	0.996	0
HINT1	0	-0.570556408794355	0.998	0.999	0
TPT1	0	-0.620964113542322	1	1	0
B2M	0	-0.52571346314042	1	1	0
ADRA2A	8.13197854203258e-308	2.53789157305023	0.147	0.024	1.15799374438544e-303
SNX5	2.74962535190569e-305	1.17075065444527	0.518	0.242	3.9154665011137e-301
DNAJC9	3.78966358171848e-305	1.2582920267219	0.429	0.177	5.39648094036711e-301
HLA-C	4.05004097551561e-303	-0.691833638348491	0.858	0.92	5.76725834913423e-299
HLA-DQA1	1.27674100971646e-300	-2.11949997988161	0.164	0.422	1.81807919783624e-296
MARCKSL1	3.13843304676172e-296	1.35704958238698	0.442	0.2	4.46912865858869e-292
GALNT1	3.81157521139368e-292	1.40742518031381	0.341	0.124	5.4276831010246e-288
BEX1	5.68357054497688e-291	-2.41192931466847	0.123	0.379	8.09340445604707e-287
TESPA1	8.88888377728799e-291	1.01732705221555	0.608	0.322	1.26577704988581e-286
TIMP3	2.95535829959378e-290	2.2911739268475	0.181	0.04	4.20843021862154e-286
H3-3A	5.14855314068998e-290	0.469046319129006	0.879	0.906	7.33153967234253e-286
NLK	2.24011203865328e-288	2.02531775160961	0.185	0.042	3.18991954304226e-284
HLA-DRB5	9.78787579630254e-287	-1.28578289922806	0.434	0.626	1.39379351339348e-282
DHRS3	5.94248472694891e-284	5.34661359134449	0.062	0.001	8.46209825117525e-280
SH3BGRL	2.56397030323191e-283	0.654215290683367	0.892	0.732	3.65109371180224e-279
HLA-B	4.14610345873446e-282	-0.542875144972151	0.957	0.977	5.90405132523786e-278
DLC1	1.09788753270705e-281	4.43970694867942	0.068	0.003	1.56339184657484e-277
HLA-DRB1	5.92018756164987e-281	-0.997465913328433	0.582	0.74	8.43034708778941e-277
ACTB	1.62711723608957e-280	0.538998181443377	0.995	0.987	2.31701494419154e-276
AOAH	1.12934380726291e-278	1.84836432657639	0.183	0.042	1.60818558154239e-274
EPOR	2.26198015194588e-276	2.16668657682053	0.142	0.025	3.22105973637093e-272
EIF4A2	9.85332979800884e-273	-0.620372776160665	0.902	0.931	1.40311416323646e-268
IL1B	2.77840514078544e-271	1.05717347108624	0.666	0.411	3.95644892047847e-267
NUTM2A-AS1	2.5737660961479e-270	1.4566894574653	0.289	0.098	3.66504292091461e-266
CSF3R	8.603687835853e-270	-1.79654592195944	0.178	0.428	1.22516514782547e-265
ITM2C	2.53043274736532e-269	-1.38340877959737	0.345	0.554	3.60333623224821e-265
GNAQ	5.40975737784489e-267	0.985538358896476	0.577	0.302	7.70349450605113e-263
ZMYND8	1.64456445701914e-266	1.18738250109544	0.437	0.197	2.34185978679526e-262
CDK6-AS1	7.96987095953933e-264	1.33796530501279	0.321	0.12	1.1349096246384e-259
PTMA	2.0863316593525e-262	0.340784445393769	1	1	2.97093628291796e-258
RSU1	1.03339346435365e-260	1.1649393057782	0.43	0.192	1.4715522932396e-256
TFRC	1.46877197584735e-259	1.6450415976194	0.231	0.069	2.09153129360663e-255
SVOPL	1.77439993872225e-257	1.44240361451508	0.274	0.093	2.52674551274048e-253
LCN2	2.1397391437636e-257	4.40062549345246	0.062	0.002	3.04698854071936e-253
STXBP5	6.83340087105832e-257	1.99662210586304	0.166	0.037	9.73076284038704e-253
NIPSNAP3A	1.81701801885113e-256	1.00468431142491	0.504	0.244	2.587433658844e-252
STAM	1.23953085873873e-254	1.6495181234226	0.228	0.068	1.76509194284395e-250
CASP3	1.65078715631212e-252	1.73604999664133	0.202	0.055	2.35072091058845e-248
GATA2	2.73996057879382e-252	1.02113152649871	0.614	0.358	3.90170386420239e-248
ITGAE	2.71148329802697e-250	1.0765842307122	0.447	0.206	3.86115221639041e-246
DTD1	2.99246482616044e-249	1.00438943223923	0.529	0.274	4.26126991245247e-245
MLLT3	2.77080653457774e-247	-1.09897011575618	0.528	0.67	3.94562850523871e-243
VIM	6.16422888796343e-247	-0.675295045244626	0.868	0.935	8.77786193645992e-243
PDCD4	4.50778109767175e-244	0.984470404081112	0.546	0.293	6.41908028308457e-240
DRAP1	2.65120522317427e-242	0.72550331539425	0.776	0.542	3.77531623780016e-238
VSTM1	5.05225362957187e-241	3.33822660449294	0.078	0.007	7.19440916851034e-237
MS4A3	9.96549887142343e-240	4.33038093087697	0.078	0.007	1.4190870392907e-235
ABCC5	9.67606134049256e-237	1.74342179766455	0.177	0.045	1.37787113488614e-232
FBXO7	4.0789247624698e-234	1.00583259525849	0.535	0.289	5.80838886175699e-230
VCL	5.60196578723815e-233	1.53258878530312	0.234	0.076	7.97719928102712e-229
COMMD6	2.54398229288761e-232	-0.45895897576762	0.961	0.97	3.62263078507196e-228
IGSF10	1.69733928239088e-231	1.02380307582962	0.514	0.267	2.41701113812462e-227
FHL2	7.16359584192663e-230	1.31406000547502	0.279	0.101	1.02009604789035e-225
ANKRD28	2.23040032828497e-229	-0.714622896480823	0.762	0.845	3.1760900674778e-225
IDH2	1.55305412517834e-226	0.850263134180869	0.613	0.36	2.21154907425396e-222
FOSB	3.98536387841119e-226	-1.0042676683703	0.601	0.73	5.67515816285753e-222
PTRHD1	2.0082175410055e-224	0.814244506904246	0.618	0.352	2.85970177839183e-220
CENPU	1.46274461726484e-223	1.60175259437366	0.204	0.061	2.08294833498513e-219
ICAM4	5.3145425184249e-222	1.07527098034338	0.373	0.161	7.56790854623706e-218
MRPL52	3.59768047821706e-220	0.848834419241684	0.585	0.331	5.1230970009811e-216
PLXNC1	4.99977701641522e-219	1.88542182127798	0.153	0.037	7.11968247137527e-215
KRT1	6.58177286446188e-218	4.82691207654396	0.054	0.002	9.37244455899372e-214
LTBP1	3.79775592385879e-217	4.70375633377553	0.055	0.003	5.40800443557492e-213
ID2	3.0640420991289e-213	-2.18195857773481	0.114	0.327	4.36319594915955e-209
PNN	3.1542952452681e-211	0.638089492403878	0.826	0.609	4.49171642926178e-207
HPGD	9.18524532208759e-211	2.12375206384097	0.131	0.029	1.30797893386527e-206
KIFAP3	9.65523639486611e-210	1.44142001009056	0.213	0.069	1.37490566262893e-205
DHRS9	6.59090401440221e-206	5.76750881225155	0.046	0.001	9.38544731650875e-202
ID1	3.77044433916307e-205	-2.4658253174777	0.107	0.311	5.36911273896821e-201
PFDN5	8.08851744905302e-205	-0.330892668892283	0.995	0.995	1.15180488474515e-200
IL7	3.89698420273177e-204	1.98566866776373	0.123	0.026	5.54930550469004e-200
TIMP1	5.92004830205464e-204	0.88565414945514	0.471	0.24	8.43014878212581e-200
NTRK1	1.13378366112329e-203	5.84355803498935	0.043	0.001	1.61450793343957e-199
YARS1	1.29298523287375e-202	1.06254652643892	0.349	0.153	1.84121097161222e-198
DUSP6	5.22871582296646e-202	-2.49520824409299	0.096	0.294	7.44569133190425e-198
JUNB	8.41474107127372e-202	-1.36762495289997	0.427	0.598	1.19825912854938e-197
EVI2A	1.32572619896319e-199	-2.362121335058	0.076	0.273	1.88783410732358e-195
CIRBP	5.91726999557521e-198	-0.426851881913754	0.968	0.976	8.4261924736991e-194
ALOX5AP	2.28484414526258e-196	3.75557784654751	0.065	0.006	3.25361806285391e-192
LAT	9.84551818730613e-196	2.93959920458253	0.073	0.008	1.40200178987239e-191
GDF11	3.03025407812429e-195	1.85424139652174	0.141	0.035	4.31508180724899e-191
MED12L	3.33109231982443e-193	1.0332042075598	0.374	0.174	4.74347546342998e-189
TPI1	6.25962905964173e-193	0.515569503942017	0.909	0.782	8.91371178092983e-189
CLEC9A	1.39729409004903e-192	-2.42068182599115	0.073	0.263	1.98974678422982e-188
SOCS2	1.59320434718785e-192	-1.40705296934627	0.352	0.514	2.26872299039549e-188
PPP3R1	4.46615997652939e-192	1.60129296070671	0.179	0.055	6.35981180657785e-188
TUBA1C	2.58207010273623e-190	0.95478180218802	0.509	0.289	3.67686782629639e-186
MPST	4.14708021853248e-190	1.19518433425776	0.32	0.142	5.90544223119026e-186
COX7A2	2.97465601317388e-189	0.459730614936829	0.921	0.788	4.23591016275961e-185
CD63	4.01544097997333e-187	0.62269456738628	0.818	0.645	5.71798795548202e-183
FAU	4.5561198083396e-187	-0.23343217537484	1	1	6.4879146070756e-183
GSE1	2.17957221354666e-186	1.10127380645093	0.29	0.12	3.10371083209045e-182
PTPN6	1.43994074003836e-185	0.823068804737706	0.544	0.31	2.05047561381463e-181
C1QTNF4	1.48080003775344e-185	-4.40650794956024	0.019	0.184	2.1086592537609e-181
RHOG	7.04429441051282e-184	0.71585778061612	0.657	0.418	1.00310752405703e-179
LIMS1	2.32091325716573e-183	0.642500478372266	0.807	0.599	3.30498047820399e-179
SPN	9.52111330043783e-182	0.662050153687696	0.728	0.49	1.35580653398235e-177
SPNS1	7.12664226527827e-181	1.16968655215032	0.261	0.103	1.01483385857563e-176
NACA	1.24298195988756e-180	-0.24563633163371	0.999	1	1.77000631087988e-176
KCNQ1OT1	3.61600242693218e-180	0.956502149278304	0.439	0.231	5.14918745595143e-176
GLUL	3.87813513024407e-180	0.776074666442924	0.665	0.445	5.52246442546755e-176
MYL6	5.25216350901394e-179	0.389088528544023	0.962	0.895	7.47908083683586e-175
FCER1G	1.20976940858389e-178	1.46146602743234	0.174	0.054	1.72271163782346e-174
COTL1	1.43342715904848e-178	1.4446269450032	0.21	0.075	2.04120027448503e-174
HLA-DMA	2.46594587856569e-177	-0.783614858354186	0.604	0.707	3.51150693107754e-173
CD82	2.9740518966751e-177	0.804728022130087	0.539	0.311	4.23504990086534e-173
PACC1	4.86940617802975e-177	1.27670607901256	0.214	0.076	6.93403439751436e-173
MEG3	1.0929073497632e-176	-3.65163389642498	0.02	0.18	1.5563000660628e-172
TYMS	3.07367253194789e-176	1.51886504708112	0.187	0.062	4.37690968549379e-172
H2AC25	5.99840105360765e-176	0.945468649231413	0.435	0.229	8.54172310033729e-172
SEC61B	6.10418570848868e-176	0.560888058144819	0.831	0.637	8.69236044888788e-172
YIF1B	1.0162345520368e-175	1.11822820290833	0.249	0.097	1.4471180021004e-171
LGALS1	1.16506234195556e-172	1.76749683710746	0.196	0.069	1.65904877494472e-168
CSF1	4.15111543937112e-172	3.47163743785361	0.054	0.004	5.91118838566447e-168
NPDC1	1.26998959576007e-171	-2.32086113537545	0.09	0.266	1.80846518436234e-167
APP	7.9904031957581e-171	-2.00025953116298	0.115	0.293	1.13783341507595e-166
ATP6V0A2	1.16940310494807e-170	1.08404191229491	0.29	0.125	1.66523002144605e-166
BIN1	1.80259520728292e-170	-1.94343678907804	0.099	0.281	2.56689557517088e-166
NFE2	2.38057979403267e-168	0.792454075019909	0.516	0.294	3.38994562670252e-164
SLC45A3	2.32197775225383e-167	2.13113825319831	0.118	0.029	3.30649631920945e-163
ORAI2	5.20538508137103e-167	0.841390678603115	0.465	0.255	7.41246835587234e-163
FXYD5	1.45233651432636e-166	-0.419204128133217	0.953	0.966	2.06812719640073e-162
PIP4K2A	2.82115246354913e-164	1.11356375596026	0.26	0.108	4.01732110809396e-160
RASGRP3	5.78601330392543e-164	3.02985372115289	0.062	0.007	8.23928294478982e-160
ITM2B	1.08700409940012e-163	-0.70259810897106	0.65	0.732	1.54789383754577e-159
FABP5	1.50859795954509e-163	0.747370436299401	0.579	0.366	2.14824349439221e-159
TCEAL2	4.33269112274545e-162	-5.27490380871411	0.006	0.146	6.16975215878952e-158
GUSB	2.36067191354859e-161	0.974985562862254	0.305	0.137	3.36159680489319e-157
MTHFD2	1.36904873189482e-160	1.08028884456453	0.283	0.125	1.94952539421823e-156
HDAC2	1.42134157415899e-160	0.751325163552419	0.565	0.345	2.0239904016024e-156
ARMC8	2.04062651530153e-159	0.968116955423156	0.295	0.131	2.90585215778938e-155
NCF4	2.97193672647184e-159	0.91224792290251	0.392	0.203	4.2320378984959e-155
ANXA5	1.10797451226587e-157	-2.00877083230108	0.113	0.281	1.5777557054666e-153
KRT18	9.9858431636915e-157	-2.11038477559987	0.088	0.256	1.42198406650967e-152
P2RX5	7.22355722645399e-156	2.62984976707425	0.069	0.01	1.02863454904705e-151
TIMM13	2.40827700789746e-155	0.547766945117589	0.764	0.553	3.42938645924599e-151
EEF1A1	8.10381060971952e-155	-0.299310329781029	0.94	0.953	1.15398263082406e-150
EIF2AK1	3.53520394114554e-154	0.92815481132619	0.352	0.176	5.03413041219125e-150
PTPRC	3.86205045885053e-154	-0.991793865426301	0.441	0.564	5.49955985340316e-150
RTN3	3.52558235655744e-153	0.660511461480249	0.632	0.412	5.02042927573779e-149
UCP2	4.3325048168817e-153	0.778572186931537	0.499	0.291	6.16948685923954e-149
STMN1	1.07104056066702e-152	0.486763282583802	0.88	0.747	1.52516175838984e-148
SDCBP	4.79135790414881e-152	0.642453215208313	0.61	0.381	6.82289365550791e-148
KCNH2	1.29720601144958e-150	3.28429328286414	0.046	0.004	1.8472213603042e-146
CYB5R4	2.29593463167858e-150	0.994171756416149	0.285	0.129	3.2694109155103e-146
ARL4A	1.67774395337907e-149	-1.31059402888742	0.329	0.476	2.38910738961179e-145
NPC2	1.81764551385851e-149	-0.76760196566196	0.561	0.659	2.58832721173452e-145
ACTG1	3.23820448253436e-149	0.315382818358007	0.998	0.992	4.61120318312893e-145
TNFSF10	4.90648544461018e-149	-2.46615218009141	0.058	0.213	6.9868352731249e-145
PGAP4	9.26731195877848e-149	1.02946219311253	0.292	0.135	1.31966522293006e-144
TAL1	2.33301369567661e-148	1.00805830328242	0.249	0.105	3.32221150264349e-144
SLC12A6	7.40454391413437e-148	1.21223005730436	0.201	0.076	1.05440705337273e-143
H2AZ2	9.00483135252041e-148	0.634623618310713	0.668	0.466	1.28228798459891e-143
TXNL1	4.04170533174246e-147	0.611497846907631	0.662	0.44	5.75538839240127e-143
PPP1R14A	6.52142844399096e-147	2.49479322453458	0.066	0.01	9.28651410424313e-143
VKORC1L1	9.45637064524412e-147	1.55847271913916	0.125	0.035	1.34658717988276e-142
PSME4	2.43282613072921e-146	1.14250463753682	0.232	0.096	3.4643444101584e-142
DYNLL1	1.24586990638831e-145	0.514242185064854	0.85	0.687	1.77411874669695e-141
CFL1	6.47729613804742e-145	0.347954033066502	0.971	0.92	9.22366970057952e-141
GPX4	4.15471726036235e-144	0.463968803140186	0.848	0.703	5.91631737875599e-140
TADA3	1.17312050424713e-143	0.856652814309877	0.332	0.162	1.67052359804791e-139
APOBEC3C	1.33462372688366e-143	0.893477617481518	0.35	0.177	1.90050418708233e-139
GIMAP7	1.61525119767161e-143	-2.93037419644987	0.041	0.185	2.30011770548437e-139
PSMD6	2.59326280557501e-143	0.766384088277028	0.428	0.235	3.69280623513882e-139
FADS2	4.85981769287492e-143	1.3554668577424	0.153	0.05	6.92038039465389e-139
RCSD1	5.86955090581955e-143	-1.35561972636475	0.207	0.372	8.35824048988704e-139
GAPDH	1.74469190608518e-142	0.243105200879397	0.998	0.995	2.4844412742653e-138
TNFAIP8	2.90940524501517e-142	0.808728299088892	0.397	0.21	4.14299306890161e-138
LIMD2	3.50734107556886e-142	0.516783471492485	0.813	0.632	4.99445369161005e-138
P2RX1	6.54220906068308e-141	0.958698322879303	0.277	0.127	9.3161057024127e-137
CMAS	1.84598956554768e-139	0.759274638380223	0.399	0.211	2.6286891413399e-135
ASRGL1	3.87345353810917e-139	1.29722350927676	0.155	0.052	5.51579783826745e-135
AIF1	2.00514932721845e-138	-0.358298736554248	0.951	0.963	2.85533264195907e-134
ITPKA	4.8654575742858e-138	3.75573754464818	0.039	0.002	6.92841158578299e-134
FAM117A	1.62381381586404e-137	0.787743544971127	0.481	0.286	2.3123108737904e-133
LYPLA1	2.3703469861251e-137	0.679382947385311	0.485	0.283	3.37537410824214e-133
EIF1	6.30150515616402e-137	-0.242017575556821	1	0.999	8.97334334237756e-133
ELOVL5	1.81897201301708e-136	0.760131680417065	0.423	0.234	2.59021614653633e-132
NOL8	3.26502810713333e-135	0.81631787982835	0.359	0.188	4.64940002455786e-131
EIF3E	1.43337034895659e-134	-0.274102321872665	0.994	0.993	2.04111937691418e-130
SORL1	1.87439001227916e-134	-1.37583920620643	0.153	0.32	2.66913137748552e-130
STK4	2.7027622611383e-134	0.619115896407339	0.596	0.378	3.84873345986094e-130
ATF3	5.8702386648715e-134	-2.78807785935819	0.049	0.19	8.35921985877702e-130
VASP	1.80413220350423e-133	0.70265094112322	0.496	0.295	2.56908425779002e-129
CAT	3.8351636576581e-133	0.521079209019251	0.824	0.669	5.46127304850513e-129
SEC11A	1.2706466954601e-132	0.542951478440214	0.727	0.518	1.80940089433518e-128
SRSF3	1.70918864845847e-132	0.368570055124056	0.931	0.831	2.43388463540486e-128
EMCN	1.83928611908939e-132	-5.45688271779595	0.004	0.12	2.61914343358329e-128
ENSA	1.884413559186e-132	0.50844090821561	0.759	0.564	2.68340490828086e-128
S100A4	1.91611313292499e-132	0.549986079543909	0.91	0.862	2.72854510128519e-128
NMI	2.46185583579391e-132	0.619914904841512	0.61	0.396	3.50568271017053e-128
DUSP1	4.0313611871827e-132	-0.905118607685501	0.546	0.67	5.74065833054817e-128
HLF	6.21632968518402e-132	-4.33803803194627	0.008	0.127	8.85205347170205e-128
NMNAT3	1.15016529622021e-131	1.22387394110129	0.156	0.054	1.63783538181758e-127
MYL4	1.17141920994966e-131	3.15864631028984	0.047	0.005	1.66810095496831e-127
CD164	1.8936476687326e-131	-0.465311524864431	0.858	0.892	2.69655428027522e-127
CMTM5	3.87505675887753e-131	3.88628418823321	0.035	0.002	5.51808082464161e-127
COX5A	5.4809157544329e-131	0.482950282143102	0.818	0.644	7.80482403431245e-127
SEMA3C	1.88505427397307e-130	2.78978441718963	0.046	0.005	2.68431728613765e-126
SLC39A4	2.27573617527873e-130	0.930364398797321	0.26	0.119	3.2406483135969e-126
COX8A	1.9364011801292e-129	0.503621945780117	0.754	0.563	2.75743528050398e-125
RNF24	5.63171463290175e-129	0.777618249964768	0.388	0.211	8.0195616372521e-125
ARL15	9.85792697390637e-128	1.83151636416965	0.085	0.019	1.40376880108427e-123
MICAL2	1.10040462364295e-127	3.49419145455437	0.038	0.003	1.56697618406756e-123
CXADR	1.30916416347437e-127	4.53554559654935	0.03	0.001	1.86424976878751e-123
MBOAT2	6.4030760665061e-127	1.48405395834554	0.112	0.032	9.11798031870469e-123
NET1	6.60385284653354e-127	1.00437318739145	0.203	0.083	9.40388645346376e-123
GDPD1	9.57083025624558e-127	1.54559665002183	0.112	0.032	1.36288622848937e-122
RBPMS	1.23161382825753e-126	-2.21760649008519	0.053	0.191	1.75381809143873e-122
PLGRKT	1.91347440676917e-126	0.837672163816303	0.305	0.151	2.7247875552393e-122
FADS1	4.86937933449279e-126	0.920314866011524	0.304	0.153	6.93399617231774e-122
RAB8A	1.34308033931221e-125	0.643151300041122	0.549	0.347	1.91254640318058e-121
RIC3	1.51445388424876e-125	-2.26120143350565	0.053	0.19	2.15658233117024e-121
ILF2	2.27280872915411e-125	0.50574212452209	0.761	0.57	3.23647963031546e-121
PSMA4	2.60287581152596e-125	0.458500589898954	0.819	0.646	3.70649515561297e-121
PDE4B	2.07802044756192e-124	-2.81510962137476	0.033	0.16	2.95910111732818e-120
SUB1	2.34083929371621e-123	0.370651238888751	0.906	0.779	3.33335515425189e-119
PHACTR4	3.03233949272166e-123	0.762576435072067	0.415	0.238	4.31805143763564e-119
NT5C3A	2.67995401877853e-122	0.618518971006307	0.549	0.347	3.81625452274063e-118
RAC2	1.36935526773128e-121	0.41455349995753	0.873	0.72	1.94996190124935e-117
GIMAP2	8.95744475602551e-121	-1.36815951982802	0.199	0.343	1.27554013325803e-116
CXCR4	1.14770609289171e-120	-0.792688985411005	0.376	0.542	1.63433347627779e-116
CLIC1	1.34877715549553e-120	0.29743143642603	0.961	0.922	1.92065866942563e-116
GAS2L1	2.89462910781001e-120	2.1906592493861	0.063	0.011	4.12195184952146e-116
DDAH2	2.10779225211901e-119	0.463449990750216	0.837	0.671	3.00149616701747e-115
DTL	3.16999461650955e-119	2.41270617369442	0.057	0.009	4.5140723339096e-115
CD37	3.69219443991826e-119	-0.363476500937881	0.924	0.932	5.25768488244361e-115
TMEM164	1.87364256028628e-118	1.58796108848996	0.106	0.031	2.66806700584767e-114
FLT3	6.57968216682193e-118	-2.57303426738157	0.037	0.161	9.36946740555442e-114
DAAM1	8.79548455397904e-118	1.0243850003492	0.197	0.083	1.25247700048662e-113
COPS3	1.2538174556206e-117	0.63938611479445	0.431	0.245	1.78543605680374e-113
PLAAT4	1.33003368416111e-117	-0.943863249290557	0.343	0.474	1.89396796624542e-113
NECAB1	1.65304597118161e-117	3.30399217274941	0.036	0.003	2.35393746296262e-113
NREP	1.6604446599145e-117	0.708900217565908	0.382	0.212	2.36447319571825e-113
MFSD2B	2.08953900439725e-117	2.05156182705839	0.065	0.012	2.97550354226168e-113
PCCB	2.39187356865589e-117	1.05093088228034	0.185	0.076	3.40602796176599e-113
PDLIM5	4.87448990684694e-117	1.16828258090174	0.165	0.064	6.94127362735004e-113
DNAAF3	5.09279761474221e-117	1.63124343859479	0.094	0.025	7.25214380339291e-113
ITGA4	5.97218350884856e-117	0.683705023899831	0.443	0.262	8.50438931660035e-113
GNB2	7.47586937894791e-117	0.783107972254548	0.346	0.188	1.06456379956218e-112
ARPC3	7.9573027807296e-117	0.312489213636792	0.951	0.879	1.13311991597589e-112
CISD2	9.02943840657791e-117	0.657892744957922	0.394	0.217	1.28579202909669e-112
ATOX1	1.41196795055116e-116	0.717572336428671	0.379	0.21	2.01064236158485e-112
H4C3	2.98956364170695e-116	0.55851449323964	0.692	0.496	4.2571386257907e-112
MT1X	5.91419112466246e-116	1.09574214826025	0.167	0.065	8.42180816151934e-112
HLA-DQA2	1.97443306128539e-115	-2.30253727296708	0.07	0.2	2.8115926792704e-111
EIF3A	2.27999088364627e-115	0.563164588923813	0.602	0.402	3.24670701831229e-111
HIGD1A	3.24843303416061e-115	0.734277818629328	0.319	0.164	4.6257686406447e-111
PPIF	6.22662710675777e-115	1.4039488980531	0.122	0.04	8.86671700002306e-111
CHD4	1.67247603636058e-114	0.684312752328836	0.436	0.258	2.38160587577746e-110
HNRNPAB	2.48588315312938e-114	0.791342132364545	0.383	0.221	3.53989761005624e-110
PCTP	4.97449318876416e-114	1.19548040549603	0.146	0.053	7.08367830080017e-110
C21orf91	1.11584566435815e-113	1.06830734561059	0.194	0.083	1.58896422604601e-109
CCT5	1.73481193474989e-113	0.572427272562675	0.539	0.345	2.47037219508385e-109
ARHGAP18	2.11553356963466e-113	1.35834932353833	0.117	0.037	3.01251980315976e-109
HLTF	4.58624162525643e-113	0.896404281047278	0.234	0.108	6.53080807436516e-109
LRRFIP2	5.02552021604705e-113	0.753704319355212	0.351	0.191	7.156340787651e-109
COPE	8.73577403653819e-113	0.481707642522899	0.704	0.505	1.24397422280304e-108
TOP2B	1.57394774228745e-112	0.732352035301368	0.344	0.186	2.24130158501732e-108
ZFP36	1.76551645554768e-112	-0.617648418850858	0.517	0.666	2.5140954326999e-108
