pathway	pval	padj	foldEnrichment	overlap	size	overlapGenes
REACTOME_HEMOSTASIS	1.1062526238849e-08	2.79580208581821e-06	4.46287143106356	21	593	Cd63 Cd9 Clec1b Clu Ehd3 Itgb3 Jam2 Lamp2 Mmrn1 Pla2g4a Plek Prcp Procr Pros1 Prtn3 Selp Serpinb6a Serpinb8 Thbd Trpc6 Vwf
BOYLAN_MULTIPLE_MYELOMA_C_D_DN	1.60999782180523e-08	3.72982828718212e-06	6.36479739928016	15	297	Alcam Cd9 Dhrs3 Dsg2 Gabra4 Gda Gpr183 Id2 Maf Oxr1 Plek Plscr1 Prtn3 Tbc1d8 Tmem176a
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_6	2.0131011841689e-08	4.30493945537657e-06	13.6651433319485	9	83	Abcb1a Efna1 Ghr Id2 Lpl Nupr1 Perp Prnp Tacstd2
PASINI_SUZ12_TARGETS_DN	4.14780442591406e-08	8.23635450288649e-06	5.92584585450222	15	319	Acsl4 Amotl2 Btg2 Cldn12 Ghr Id2 Jun Mmp14 Perp Prnp Rab34 Rdh10 S100a6 Tmem47 Wwtr1
SWEET_LUNG_CANCER_KRAS_DN	6.74740450133099e-08	1.17592445799567e-05	4.95923797360579	17	432	Aldh1a1 Cavin2 Cntn1 Fhl1 Gpx3 Gstm2 Jun Kdr Mef2c Ndn Ramp2 Rhoj Sema7a Sult1a1 Thbd Vwf Wwtr1
HALLMARK_IL2_STAT5_SIGNALING	6.76791054961538e-08	1.17592445799567e-05	7.59937619130133	12	199	Abcb1a Alcam Dhrs3 Muc1 Myo1e Ndrg1 Plscr1 Prnp Selp Serpinb6a Tgm2 Tnfsf10
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	8.3248273994241e-08	1.36135412767053e-05	9.7692239151742	10	129	Cd63 Cd9 Clu Itgb3 Lamp2 Mmrn1 Plek Pros1 Selp Vwf
MCBRYAN_PUBERTAL_TGFB1_TARGETS_UP	1.1173147964814e-07	1.72563063012127e-05	8.20267972522615	11	169	Clu Cyb561 Fhl1 Kdr Lpl Mef2c Mmp14 Ptprk S100a6 Tgm2 Tsc22d1
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	1.35529829192586e-07	1.98301539555468e-05	6.4247013748028	13	255	Cd63 Cd9 Clec1b Clu Itgb3 Lamp2 Mmrn1 Pla2g4a Plek Pros1 Selp Trpc6 Vwf
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_DN	2.50255060750516e-07	3.42100417300037e-05	8.69124058660325	10	145	Aldh1a1 Amotl2 Cd9 Ddr1 Dhrs3 Fhl1 Gstm1 Lpl Nupr1 Trim47
BORLAK_LIVER_CANCER_EGF_UP	2.58421178535999e-07	3.42100417300037e-05	16.039289446186	7	55	Alcam Btg2 Cd63 Ddr1 Lpl Plscr1 Serpinb6a
LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_LARGE_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_DN	3.09740391278766e-07	3.91399221706804e-05	4.45403493679356	17	481	Aldh1a1 Arhgap29 Cavin2 Clec1a Cyyr1 Dennd5b Fhl1 Kdr Matn4 Mmrn1 Plscr2 Plscr4 Ppp1r16b Ramp2 Slamf1 Sult1a1 Thbd
HESS_TARGETS_OF_HOXA9_AND_MEIS1_DN	4.19201335167415e-07	5.02782703380023e-05	11.723068698209	8	86	Btg2 Egr1 Id2 Lpl Ndrg1 Plek Plscr1 Zfp36
RIZ_ERYTHROID_DIFFERENTIATION_12HR	4.3405701011225e-07	5.02782703380023e-05	20.4361602982293	6	37	Egr1 Jun Mllt3 Ndn Pbx3 Tsc22d1
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	5.12067472764478e-07	5.69419029714099e-05	19.8983666061706	6	38	Prcp Procr Pros1 Prtn3 Thbd Vwf
HUI_MAPK14_TARGETS_UP	5.45232659798604e-07	5.76330695107004e-05	30.0054734537493	5	21	Fhl1 Gadd45g Jun Prnp Sfrp1
GROSS_HYPOXIA_VIA_ELK3_DN	5.8841024482957e-07	5.76330695107004e-05	7.92597411985831	10	159	Acsl4 Egr1 Lamp2 Ndrg1 Plek Ptger4 Thbd Tm4sf1 Vldlr Zfp36
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN	5.97738841772963e-07	5.76330695107004e-05	14.2284019280682	7	62	Bcl6 Btg2 Egr1 Id2 Tgm2 Tsc22d1 Zfp36
WP_RETINOL_METABOLISM	6.01208279068457e-07	5.76330695107004e-05	19.3881520778073	6	39	Aldh1a1 Cyp26b1 Dhrs3 Lpl Rdh10 Sult1a1
AFFAR_YY1_TARGETS_UP	7.04153942427488e-07	6.52515986649472e-05	6.82883188947398	11	203	Abat Alcam Btg2 Clu Gadd45g Kdr Ntf3 Perp Ramp2 Rorc Tgm2
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2	1.14599913321128e-06	0.00010277024484927	7.36976540969281	10	171	Abcb1a Acsl4 Btg2 Ddr1 Dsg2 Lpl Npdc1 Plscr1 Rab34 Zg16
HALLMARK_CHOLESTEROL_HOMEOSTASIS	1.52233001470908e-06	0.000132252420027852	12.4248016836652	7	71	Alcam Cd9 Clu Cxcl16 Gstm7 Lpl Plscr1
MEISSNER_NPC_HCP_WITH_H3_UNMETHYLATED	1.90775651880924e-06	0.000160714034008778	3.90235119234554	17	549	Abcb1a Adgrg2 Cxcl16 Dsg2 Evc Gipc2 Gpx3 Lpl Matn4 Mmp14 Ntf3 Osmr Pdgfd Plscr4 Tacstd2 Thbd Trim47
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP	3.59809347207328e-06	0.000285791424353249	7.46188747731398	9	152	Btg2 Cyb561 Cytip Gpx3 Lpl Mt1 Procr Prtn3 S100a6
LANDIS_ERBB2_BREAST_TUMORS_324_DN	3.59809347207328e-06	0.000285791424353249	7.46188747731398	9	152	Cavin2 Ghr Gpx3 Rab34 S100a6 Sult1a1 Thbd Tsc22d1 Vwf
WANG_MLL_TARGETS	4.57443710173668e-06	0.000352280368118025	5.10904007455732	12	296	Aspa Dhrs3 Gda Jam2 Maf Mmp14 Pcdhb16 Plek Sfrp1 Tbc1d8 Thbd Tox
HALLMARK_P53_PATHWAY	4.68862360444853e-06	0.000352280368118025	6.30114942528736	10	200	Abat Btg2 Jun Ndrg1 Nupr1 Perp Procr Stom Tm4sf1 Tsc22d1
DURAND_STROMA_S_UP	6.41285956486608e-06	0.000469151305008624	4.94207798061753	12	306	Arhgef28 Casp12 Cyp26b1 Ehd3 Lpl Maf Ndrg1 Osmr Oxr1 Rorb Selp Tmem47
PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP	6.58417128568174e-06	0.000469333235235775	13.0368608799049	6	58	Cd38 Clca3a1 Enpp5 Perp Plscr1 Plscr2
IWANAGA_CARCINOGENESIS_BY_KRAS_PTEN_DN	7.42712961333113e-06	0.000516185508126514	4.48849000157456	13	365	Abcb1a Aldh1a1 Cavin2 Cpne8 Fhl1 Jun Meis2 Ndn Ptprk Ramp2 Rhoj Serpinb6a Tgm2
MIKKELSEN_NPC_LCP_WITH_H3K4ME3	8.03787879506098e-06	0.000545007391469989	12.6022988505747	6	60	Ampd3 Casp12 Ddr1 Kcnip3 Serpinb8 Tmem176a
CHEN_METABOLIC_SYNDROM_NETWORK	9.45874596423189e-06	0.000626078899537253	2.56184339417469	26	1279	Art4 Casp12 Cd38 Cd63 Cd9 Clec1b Cxcl16 Cytip Fhl1 Gipc2 Gstm1 Hpgds Jun Lamp2 Lpl Myo1e Npdc1 Phf11d Pla2g4a Plek Plscr1 Prcp Rab34 Rhoj S100a6 Serpinb6a
MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN	1.06964667326911e-05	0.00068215649909703	12.0021893814997	6	63	Aldh1a1 Bcl6 Cd9 Id2 Sfrp1 Vwf
SERVITJA_ISLET_HNF1A_TARGETS_UP	1.07967215684422e-05	0.00068215649909703	6.51843043995244	9	174	Dnm3 Maf Meis2 Mmp14 Pla2g4a Procr Slc6a15 Tgm2 Tmem47
TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_UP	1.13988108107158e-05	0.000704193201195333	5.11532425669084	11	271	Clca3a1 Cytip Enpp5 Gda Id2 Lpar6 Nt5c3 Pbx3 Plscr4 Slamf1 Trim47
MATSUDA_NATURAL_KILLER_DIFFERENTIATION	1.17476823910766e-05	0.000709968631460715	3.77314336843554	15	501	Abcb1a Cd38 Clca3a1 Dhrs3 Dsg2 Fhl1 Gem Jun Klrb1c Mef2c Myo1e Plscr1 Slc6a15 Stxbp4 Wwtr1
GERY_CEBP_TARGETS	1.40163465155392e-05	0.000829051985387212	7.35900662807282	8	137	Btg2 Clu Gadd45g Gipc2 Id2 Lpl Prnp Procr
HALLMARK_COMPLEMENT	1.76250302583403e-05	0.00102078300246221	6.13084808946878	9	185	Clu Kcnip3 Lamp2 Mmp14 Pclo Pla2g4a Plek Plscr1 Prcp
HUMMERICH_SKIN_CANCER_PROGRESSION_DN	1.83331463337791e-05	0.00104012544505931	8.56466912174981	7	103	Acsl4 C4b Dsg2 Fhl1 Gpx3 Id2 Rab34
HEVNER_CORTEX_ROSTRAL_CORTICAL_PLATE	1.99182317346867e-05	0.00110745368444858	15.0027367268747	5	42	Bcl6 Ndrg1 Ntf3 Rorb Vldlr
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION	2.06275752926597e-05	0.00112440508458028	24.0043787629995	4	21	Procr Pros1 Prtn3 Thbd
LANDIS_BREAST_CANCER_PROGRESSION_DN	2.31885116829043e-05	0.00123969350920142	10.5019157088123	6	72	Ghr Rab34 S100a6 Sult1a1 Thbd Vwf
LANDIS_ERBB2_BREAST_TUMORS_65_UP	2.50556868735396e-05	0.00131424168883849	22.9132706374086	4	22	Cd9 Dsg2 Fhdc1 Perp
HALLMARK_INFLAMMATORY_RESPONSE	2.78298983907286e-05	0.00142922179162929	5.78676988036594	9	196	Btg2 Gpr183 Itgb3 Ly6e Mmp14 Osmr Ptger4 Slamf1 Tnfsf10
LANDIS_ERBB2_BREAST_TUMORS_324_UP	2.83421738828292e-05	0.00142922179162929	6.67671462282104	8	151	Acsl4 Cd9 Cyb561 Dsg2 Fhdc1 Id2 Lsr Perp
KARLSSON_TGFB1_TARGETS_DN	2.89659300465646e-05	0.00142922179162929	5.75739541396814	9	197	Alcam C4b Gstm1 Gstm2 Id2 Lamp2 Ly6e Tgm2 Wwtr1
HUANG_GATA2_TARGETS_DN	2.93041878139818e-05	0.00142922179162929	10.0818390804598	6	75	Arhgap29 Clu Egr1 Fhl1 Nt5c3 Slamf1
REACTOME_RA_BIOSYNTHESIS_PATHWAY	3.01431840098303e-05	0.00144479399219531	21.9170414792604	4	23	Aldh1a1 Cyp26b1 Dhrs3 Rdh10
LANDIS_BREAST_CANCER_PROGRESSION_UP	3.12838234296818e-05	0.00147405134126297	13.6981509245377	5	46	Acsl4 Cyb561 Dsg2 Id2 Lsr
SCHAEFFER_PROSTATE_DEVELOPMENT_12HR_UP	3.34394850647286e-05	0.00154936280799909	7.80673380124097	7	113	Bcl6 Gadd45g Lamp2 Maf Pdgfd Pla2g4a Pros1
WENG_POR_TARGETS_LIVER_UP	3.47845907144755e-05	0.00158526495387282	13.4067009048667	5	47	Gstm1 Gstm2 Lpl Prnp Tmem176a
PILON_KLF1_TARGETS_UP	5.01864451995625e-05	0.0022502954460449	3.51458533681367	14	502	Acsl4 Alcam Arhgap29 Cavin2 Clca3a1 Clu Ghr Lpl Mllt3 Mt1 Ndn Nt5c3 Slamf1 Vwf
LI_INDUCED_T_TO_NATURAL_KILLER_UP	5.54637408904641e-05	0.00240424333608343	4.30513314771186	11	322	Cd63 Cd9 Egr1 Gadd45g Id2 Mt1 Myo1e Plscr1 S100a6 Serpinb6a Tnfsf10
MIKKELSEN_MCV6_LCP_WITH_H3K4ME3	5.56343921427813e-05	0.00240424333608343	6.07339703642155	8	166	Aldh1a1 Gstm2 Kcnip3 Muc1 Rorc Serpinb8 Tmem176a Tnfsf10
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN	5.69225180813545e-05	0.00240424333608343	2.53660178145145	22	1093	Alcam Amotl2 Aspa C4b Cd9 Ddr1 Dnm3 Enpp5 Jam2 Jun Kcnip3 Maf Mllt3 Ndrg1 Neo1 Pcdhb16 Ppp1r16b Prnp Pros1 Serpinb8 Tbc1d8 Tsc22d1
KOHOUTEK_CCNT1_TARGETS	5.70791583386714e-05	0.00240424333608343	12.1175950486295	5	52	Abcb1b Cxcl16 Enpp5 Pros1 Tacstd2
UEDA_PERIFERAL_CLOCK	7.14314672403009e-05	0.00296387281982144	5.86153434910452	8	172	Alcam Cd9 Dhrs3 Id2 Lsr Ndrg1 Rorc Tsc22d1
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_CDC25_DN	7.49492670295031e-05	0.00305453206179606	11.4566353187043	5	55	Ddr1 Osmr Pros1 Tmem176a Zfp36
IVANOVA_HEMATOPOIESIS_STEM_CELL_LONG_TERM	7.58139252747943e-05	0.00305453206179606	5.08612958094944	9	223	Cntn1 Dsg2 Jam2 Ocln Pclo Plscr4 Procr Rorc Slc6a15
BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN	8.93321668167478e-05	0.0035224779265241	16.8030651340996	4	30	Alcam Fhl1 Pbx3 Ptger4
MIKKELSEN_MEF_LCP_WITH_H3K4ME3	8.99625657493564e-05	0.0035224779265241	6.68303726924417	7	132	Ampd3 Casp12 Ddr1 Fhl1 Gstm2 Serpinb8 Tmem176a
PLASARI_NFIC_TARGETS_BASAL_UP	0.000101934073043877	0.00393578782030526	16.2610307749351	4	31	Clca3a1 Clu Perp Plscr2
GAUSSMANN_MLL_AF4_FUSION_TARGETS_F_UP	0.000123182670115448	0.00469106606741023	5.42034359164504	8	186	Btg2 Casp12 Gstm2 Ly6e Osmr Plscr2 Tmem176a Tox
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_CDC25_UP	0.000133315706501025	0.00500834681179528	10.1631442343344	5	62	Cd9 Cytip Nupr1 Sema7a Wwtr1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.000153294673815437	0.00568212257609222	5.25095785440613	8	192	Fap Gem Id2 Itgb3 Jun Mmp14 Sfrp1 Tgm2
HALLMARK_HYPOXIA	0.00018922916165602	0.006921803544786	5.09183791942413	8	198	Ampd3 Efna1 Jun Mt1 Ndrg1 Tgm2 Vldlr Zfp36
GAUSSMANN_MLL_AF4_FUSION_TARGETS_A_UP	0.000195841634852924	0.00707064603754711	5.06625079420089	8	199	Egr1 Enpp5 Fhdc1 Gda Id2 Jam2 Sbspon Tgm2
LE_EGR2_TARGETS_DN	0.000213408295668497	0.00760609053792847	7.06670963583629	6	107	Abcb1a Cd9 Lpl Ndrg1 Slc6a15 Sult1a1
ZHENG_BOUND_BY_FOXP3	0.000226721010528473	0.00795799837361036	3.2123506874014	13	510	Bcl6 Cytip Exoc6b Gpr183 Mllt3 Nt5c3 Ptger4 Ptprk Sbspon Selp Slamf1 Tox Vwf
REACTOME_GLUTATHIONE_CONJUGATION	0.000229007147442025	0.00795799837361036	13.2655777374471	4	38	Gstm1 Gstm2 Gstm7 Hpgds
RASHI_RESPONSE_TO_IONIZING_RADIATION_1	0.000253608761598157	0.00870410317583798	12.9254347185382	4	39	Egr1 Jun Serpinb6a Zfp36
GOTZMANN_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP	0.000270428589126738	0.0090577286478594	8.75159642401022	5	72	Abcb1b Clu Jun Pla2g4a Pros1
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_1	0.000270428589126738	0.0090577286478594	8.75159642401022	5	72	Aldh1a1 Ampd3 Bcl6 Gadd45g Ndrg1
HALLMARK_APOPTOSIS	0.000307127328301983	0.0101644520557085	5.47926036981509	7	161	Btg2 Cd38 Clu Gpx3 Gstm2 Jun Tnfsf10
REACTOME_SIGNALING_BY_RETINOIC_ACID	0.000338789054098464	0.0110803949458086	12.0021893814997	4	42	Aldh1a1 Cyp26b1 Dhrs3 Rdh10
ABBUD_LIF_SIGNALING_1_UP	0.000371239719333244	0.0117278002243911	11.723068698209	4	43	Cyb561 Gpx3 Tmem176a Vwf
JOHANSSON_BRAIN_CANCER_EARLY_VS_LATE_DN	0.000371239719333244	0.0117278002243911	11.723068698209	4	43	Clu Gstm1 Ndn Ndrg1
LEIN_ASTROCYTE_MARKERS	0.000371239719333244	0.0117278002243911	11.723068698209	4	43	Cd63 Clu Matn4 Mt1
LEE_AGING_NEOCORTEX_UP	0.000392722728723166	0.0122670695039371	8.07839669908636	5	78	C4b Cd9 Cyb561 Ndrg1 Stom
YAMAZAKI_TCEB3_TARGETS_UP	0.000397231410002358	0.0122700368867395	5.25095785440613	7	168	Amotl2 Cd38 Clu Ghr Id2 Ramp2 Thbd
HOFFMANN_PRE_BI_TO_LARGE_PRE_BII_LYMPHOCYTE_DN	0.000416595371533997	0.0127267597018078	7.97613851302197	5	79	Cd9 Dsg2 Ndrg1 Sema7a Zg16
LANDIS_ERBB2_BREAST_PRENEOPLASTIC_UP	0.000433365294535651	0.0129543604173022	19.8983666061706	3	19	Acsl4 Dsg2 Id2
WP_GLUTATHIONE_METABOLISM	0.000433365294535651	0.0129543604173022	19.8983666061706	3	19	Gpx3 Gstm2 Gstm7
HEVNER_CORTEX_CAUDAL_VENTRICULAR_ZONE	0.00044271082707239	0.0130929372261834	11.2020434227331	4	45	Fhl1 Gadd45g Mt1 Tmem47
DARWICHE_PAPILLOMA_PROGRESSION_RISK	0.000467608136255616	0.0136836907241117	7.77919682134242	5	81	Cxcl16 Gstm1 Ramp2 Stom Trpc6
BURTON_ADIPOGENESIS_PEAK_AT_2HR	0.000481894351228839	0.0139548572543351	10.9585207396302	4	46	Btg2 Gadd45g Rhoj Zfp36
HEVNER_CORTEX_COMMITTED_TO_CALLOSAL_PROJECTION_NEURON_FATE	0.000506876399364509	0.0143787386758504	18.9034482758621	3	20	Bcl6 Lpl Ndrg1
BIOCARTA_EICOSANOID_PATHWAY	0.000506876399364509	0.0143787386758504	18.9034482758621	3	20	Hpgds Pla2g4a Ptger4
KHETCHOUMIAN_TRIM24_TARGETS_UP	0.000523485956858082	0.01469990868753	10.7253607238934	4	47	Btg2 Cd38 Egr1 Tgm2
BOYLAN_MULTIPLE_MYELOMA_PCA3_UP	0.000552771439225246	0.0153670460104618	7.50136836343733	5	84	Abcb1b Alcam Jun Mt1 Pla2g4a
SWEET_LUNG_CANCER_KRAS_UP	0.000574158703680903	0.0157154969107689	3.07999157244189	12	491	Acsl4 Cd63 Cd9 Clu Id2 Matn4 Mt1 Muc1 Npdc1 Prnp Tacstd2 Vmp1
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.000583593418266738	0.0157154969107689	7.4131169709263	5	85	Cd38 Cd9 Itgb3 Jun Osmr
YAO_HOXA10_TARGETS_VIA_PROGESTERONE_UP	0.000583593418266738	0.0157154969107689	7.4131169709263	5	85	Cavin2 Gem Pbx3 Pros1 Thbd
GESERICK_TERT_TARGETS_DN	0.000587917870043151	0.0157154969107689	18.0032840722496	3	21	Btg2 Gadd45g Zfp36
MEISSNER_NPC_HCP_WITH_H3K4ME2	0.000616542232973435	0.0163236895968205	3.05510275165448	12	495	Arhgap29 Chrna7 Cyb561 Fhdc1 Gda Itgb3 Lsr Ly6e Perp Ramp2 Sbspon Tc2n
HUMMERICH_SKIN_CANCER_PROGRESSION_UP	0.000649086144477195	0.0170232026570434	7.24270048883604	5	87	Mmp14 Mt1 Perp S100a6 Tacstd2
GUILLAUMOND_KLF10_TARGETS_UP	0.000663536200489429	0.0172395386669216	10.0818390804598	4	50	Lpl Mt1 Ndrg1 Stom
BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP	0.000676790846333091	0.0174210977111666	17.1849529780564	3	22	Aldh1a1 Mt1 Tmem176a
OHGUCHI_LIVER_HNF4A_TARGETS_UP	0.000715588473449856	0.0182507885889046	9.88415596123507	4	51	Abcb1a Ddr1 Nrg4 Vldlr
BURTON_ADIPOGENESIS_7	0.000770464249709121	0.0192065234642393	9.69407603890362	4	52	Pbx3 Pros1 Rhoj S100a6
BRACHAT_RESPONSE_TO_CISPLATIN	0.000773787995681582	0.0192065234642393	16.4377811094453	3	23	Btg2 Dhrs3 Vmp1
REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	0.000773787995681582	0.0192065234642393	16.4377811094453	3	23	Prcp Pros1 Vwf
VILIMAS_NOTCH1_TARGETS_UP	0.00082824721489429	0.0203763474106737	9.51116894382997	4	53	Ddr1 Egr1 Id2 Tox
WP_OXIDATIVE_STRESS_AND_REDOX_PATHWAY	0.00083684274909265	0.0204072179164699	6.84907546226887	5	92	Gpx3 Gstm1 Gstm2 Gstm7 Hpgds
GOLDRATH_ANTIGEN_RESPONSE	0.00085656940766843	0.0207066343766803	3.36061302681992	10	375	Alcam Gem Id2 Klrb1c Mt1 Perp Plscr1 Ptger4 S100a6 Serpinb6a
GAVIN_FOXP3_TARGETS_CLUSTER_P7	0.000878787336913785	0.0210605930743131	6.7754294895563	5	93	Abcb1b Jun Myo1e Prnp Selp
BIOCARTA_MRP_PATHWAY	0.000919619420619071	0.021850786233513	42.007662835249	2	6	Abcb1a Abcb1b
HALLMARK_ESTROGEN_RESPONSE_LATE	0.00093211098130781	0.0219599027799637	4.54722123474345	7	194	Cd9 Cyp26b1 Id2 Lsr Perp Pgr Zfp36
LIM_MAMMARY_LUMINAL_MATURE_DN	0.000967349663779666	0.0225985887840964	6.63278886872353	5	95	Lpl Meis2 Sfrp1 Slc6a15 Tmem47
IVANOVA_HEMATOPOIESIS_STEM_CELL	0.000989503334562778	0.022923493917371	4.5008210180624	7	196	Arhgef28 Egr1 Gem Jun Ptprk Serpinb8 Vldlr
QI_PLASMACYTOMA_UP	0.00106326736706415	0.0244287874416392	3.92289458383649	8	257	Clu Id2 Itgb3 Plek Plscr1 Prtn3 Slamf1 Tgm2
NABA_MATRISOME	0.00108938389732331	0.0248236658570394	2.19673099230201	19	1090	Clec1a Clec1b Matn4 Mmp14 Mmrn1 Muc1 Muc13 Nrg4 Ntf3 Pdgfd S100a6 Sbspon Sema7a Serpinb6a Serpinb8 Sfrp1 Tgm2 Tnfsf10 Vwf
HALLMARK_ADIPOGENESIS	0.00111261994922638	0.025147019990645	4.41080459770115	7	200	Bcl6 Cavin2 Gpx3 Lpl Rab34 Stom Sult1a1
KATSANOU_ELAVL1_TARGETS_DN	0.00127652528778531	0.0286188733874448	5.04091954022989	6	150	Adgrg2 Casp12 Gstm1 Osmr Sbspon Stxbp4
GOTZMANN_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN	0.00147337016330962	0.032767752432006	4.2007662835249	7	210	Abcb1a Egr1 Fhl1 Gstm1 Serpinb6a Stom Tm4sf1
BERENJENO_TRANSFORMED_BY_RHOA_DN	0.00152406489071502	0.0336261936205376	3.11167872853697	10	405	Aldh1a1 Ghr Gstm2 Id2 Lamp2 Mab21l2 Mmp14 Mt1 Osmr Prnp
BERENJENO_TRANSFORMED_BY_RHOA_UP	0.00154514429997424	0.0338228437317196	2.74460229050629	12	551	Alcam Cavin2 Cytip Fhl1 Jun Pbx3 Pla2g4a Plscr1 Procr Ptger4 Thbd Tmem176a
